id_Caso;P0;P1;ICI_local_1;ICI_local_0;Direction_l1;Direction_l0;
G1;0,39;0,61;0,585;0,345;under_confident;over_confident;
G2;0,99;0,01;0,749;0,820;under_confident;balanced;
G3;0,89;0,11;0,749;0,881;under_confident;over_confident;
G4;0,08;0,92;0,843;0,677;over_confident;under_confident;
G5;0,98;0,02;0,749;0,881;under_confident;balanced;
G6;0,99;0,01;0,749;0,82;under_confident;balanced;
G7;0,01;0,99;0,838;0,913;balanced;balanced;
G8;0,30;0,70;0,843;0,677;balanced;under_confident;
G9;0,38;0,62;0,585;0,345;under_confident;over_confident;
G10;0,87;0,13;0,749;0,881;under_confident;under_confident;
G11;0,11;0,89;0,843;0,677;over_confident;under_confident;
G12;0,01;0,99;0,838;0,913;balanced;balanced;
G13;0,01;0,99;0,838;0,913;balanced;balanced;
G14;0,99;0,01;0,749;0,82;under_confident;balanced;
G15;0,85;0,15;0,585;0,345;under_confident;under_confident;
G16;0,54;0,46;0,585;0,345;under_confident;over_confident;
G17;0,1;0,9;0,843;0,677;over_confident;under_confident;
G18;0,999;0,001;0,901;0,82;balanced;balanced;